,number,symbol
0,1,H
1,2,He
3,4,Be
4,5,B
6,7,N
7,8,O
8,9,F
9,10,Ne
10,11,Na
12,13,Al
13,14,Si
14,15,P
15,16,S
17,18,Ar
18,19,K
20,21,Sc
21,22,Ti
25,26,Fe
27,28,Ni
29,30,Zn
30,31,Ga
31,32,Ge
32,33,As
33,34,Se
34,35,Br
35,36,Kr
36,37,Rb
37,38,Sr
38,39,Y
39,40,Zr
40,41,Nb
42,43,Tc
43,44,Ru
44,45,Rh
45,46,Pd
46,47,Ag
48,49,In
49,50,Sn
50,51,Sb
51,52,Te
52,53,I
55,56,Ba
58,59,Pr
59,60,Nd
60,61,Pm
61,62,Sm
62,63,Eu
63,64,Gd
64,65,Tb
66,67,Ho
67,68,Er
68,69,Tm
69,70,Yb
71,72,Hf
72,73,Ta
73,74,W
74,75,Re
75,76,Os
76,77,Ir
77,78,Pt
78,79,Au
79,80,Hg
80,81,Tl
81,82,Pb
82,83,Bi
83,84,Po
84,85,At
85,86,Rn
86,87,Fr
87,88,Ra
88,89,Ac
89,90,Th
90,91,Pa
91,92,U
92,93,Np
93,94,Pu
94,95,Am
96,97,Bk
98,99,Es
99,100,Fm
101,102,No
103,104,Rf
105,106,Sg
106,107,Bh
107,108,Hs
110,111,Rg
112,113,Nh
113,114,Fl
116,117,Ts
117,118,Og
